NSX, Description, New Price, Discount percent, Old Price, 
Deonatulle, Lăn Khử Mùi Deonatulle Đá Khoáng Trắng Không Màu 20g, 236.000 ₫, 21%, 298.000 ₫, 
St.Ives, Sữa Tắm St.Ives Tẩy Tế Bào Chết Hương Muối Biển 650ml, 177.000 ₫, 2%, 180.000 ₫, 
On: The Body, Sữa Tắm On: The Body Dưỡng Ẩm Hương Sang Trọng 500g, 104.000 ₫, 31%, 150.000 ₫, 
Hatomugi, Sữa Tắm Hatomugi Dưỡng Ẩm Sâu, 96.000 ₫, 52%, 199.000 ₫, 
BareSoul, Muối Tắm BareSoul Tẩy Tế Bào Chết Cho Da Đầu & Cơ Thể 330g, 195.000 ₫, 22%, 250.000 ₫, 
Cocoon, Bơ Dưỡng Thể Cocoon Chiết Xuất Cà Phê Đắk Lắk 200ml, 192.000 ₫, 11%, 215.000 ₫, 
Felina, Muối Tắm Tẩy Tế Bào Chết Felina Chiết Xuất Bơ 500g, 79.000 ₫, 44%, 140.000 ₫, 
KAI, Dao Cạo Vùng Bikini KAI (Vỉ 2 Cây), 36.000 ₫, 8%, 39.000 ₫, 
A Bonne, Muối Tắm A Bonne Sữa Chua Làm Sáng & Mềm Mịn Da 350g, 18.000 ₫, 67%, 55.000 ₫, 
Purité By Prôvence, Sữa Tắm Purité Sáng Mịn Da Hương Hoa Anh Đào 1100ml, 232.000 ₫, 19%, 287.000 ₫, 
EtiaXil, Lăn Khử Mùi EtiaXil Hàng Ngày Cho Mọi Loại Da 50ml, 209.000 ₫, 16%, 249.000 ₫, 
Bioderma, Kem Dưỡng Ẩm Bioderma Cho Da Khô Nhạy Cảm 200ml, 293.000 ₫, 10%, 325.000 ₫, 
SVR, Gel Rửa Mặt SVR Không Xà Phòng Cho Da Khô, 271.000 ₫, 15%, 320.000 ₫, 
Nerman, Dung Dịch Vệ Sinh Nam Giới Nerman - Sauvage Perfume 100ml, 99.000 ₫, 9%, 109.000 ₫, 
Tesori d'Oriente, Sữa Tắm Nước Hoa Tesori d'Oriente Hương Hoa Sen 250ml, 137.000 ₫, 22%, 175.000 ₫, 
Dove, Xịt Khử Mùi Dove Dưỡng Da Sáng Mịn Hương Dịu Nhẹ 150ml, 94.000 ₫, 25%, 125.000 ₫, 
On: The Body, Sữa Tắm On: The Body Dưỡng Ẩm Hương Quyến Rũ 1000g, 189.000 ₫, 26%, 255.000 ₫, 
St.Ives, Sữa Dưỡng Thể St.Ives Yến Mạch & Bơ Dưỡng Ẩm Dịu Da 621ml, 171.000 ₫, 11%, 192.000 ₫, 
Hatomugi, Sữa Tắm Hatomugi Dưỡng Ẩm, 80.000 ₫, 65%, 230.000 ₫, 
Dove, Smoothie Tẩy Da Chết Dove Hương Lựu Đỏ 298g, 149.000 ₫, 25%, 199.000 ₫, 
Cocoon, Túi Refill Tẩy Da Chết Toàn Thân Cocoon Sạch Da 600ml, 292.000 ₫, 10%, 325.000 ₫, 
Dove, Serum Ngăn Mùi Dove Giúp Da Sáng Mịn Đều Màu 40ml, 65.000 ₫, 33%, 97.000 ₫, 
EtiaXil, Lăn Khử Mùi EtiaXil Nhãn Xanh Cho Da Nhạy Cảm 15ml, 159.000 ₫, 50%, 320.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330ml, 113.000 ₫, 25%, 150.000 ₫, 
Vaseline, Combo 2 Sữa Dưỡng Thể Vaseline Sáng Mịn Da 330ml, 225.000 ₫, 25%, 300.000 ₫, 
Vaseline, Serum Dưỡng Thể Vaseline Chống Nắng Sáng Da 300ml (Mới), 136.000 ₫, 33%, 203.000 ₫, 
Cocoon, Tẩy Da Chết Toàn Thân Cocoon Cà Phê Đắk Lắk 200ml, 100.000 ₫, 20%, 125.000 ₫, 
Dove, Smoothie Tẩy Da Chết Dove Hương Hoa Anh Đào 298g, 149.000 ₫, 25%, 199.000 ₫, 
Cocoon, Combo Cocoon Tẩy Da Chết Cho Mặt & Toàn Thân Từ Cà Phê Đắk Lắk (200ml+150ml), 221.000 ₫, 24%, 290.000 ₫, 
Lifebuoy, Sữa Tắm Lifebuoy Detox Matcha & Khổ Qua 800g, 153.000 ₫, 22%, 195.000 ₫, 
Dove, Serum Ngăn Mùi Dove Giúp Mờ Thâm Thu Nhỏ Lỗ Chân Lông 40ml, 65.000 ₫, 33%, 97.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Gluta-Hya Nâng Tông Tức Thì 300ml, 134.000 ₫, 31%, 195.000 ₫, 
Nivea, Sữa Dưỡng Thể Nivea Sáng Da Ban Đêm Từ 8 Super Food 350ml, 99.000 ₫, 29%, 139.000 ₫, 
