NSX, Description, New Price, Discount percent, Old Price, 
Nature's Bounty, Viên Uống Nature's Bounty Hoạt Huyết Dưỡng Não 60 Viên, 199.000 ₫, 4%, 207.000 ₫, 
Blackmores, Viên Uống Blackmores Milk Thistle Bổ Gan 42 Viên, 459.000 ₫, not available, not available, 
Itoh Kanpo, Nước Uống Bổ Sung Collagen Naris ITOH 50ml x 3 Lọ, 425.000 ₫, not available, not available, 
Glamour Skin, [HSD 09/2024] Viên Uống Làm Đẹp Da, 655.000 ₫, 45%, 1.200.000 ₫, 
Naris Cosmetics, [HSD 04/2024] Bột Uống Collagen Naris ITOH Dưỡng Sáng Da 2gX30 Gói, 279.000 ₫, 26%, 376.000 ₫, 
Rohto, [HSD 05/2024] Viên Uống Bổ Mắt Rohto V5 Bảo Vệ Sức Khỏe Hộp 30 Viên, 174.000 ₫, 64%, 485.000 ₫, 
Costar, Viên Uống Costar Tăng Cường Sinh Lý Nam 100 Viên, 410.000 ₫, 45%, 748.000 ₫, 
Blossomy, [HSD 05/2024] Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Nghệ Collagen 50mlx3, 82.000 ₫, 31%, 118.000 ₫, 
Naris Cosmetics, [HSD 04/2024] Nước Uống Naris Itoh Dấm Táo Giảm Cân, 99.000 ₫, 80%, 495.000 ₫, 
Dr Frei, [HSD 05/2024] Viên Sủi Dr. Frei Bổ Sung Canxi và Vitamin D3 (20 Viên), 42.000 ₫, 60%, 104.000 ₫, 
Nucos, Nước Uống Collagen Nucos Spa Làm Sáng Da (10.000mg x 10), 1.521.000 ₫, 15%, 1.790.000 ₫, 
Swisse, Bột Uống Collagen Swisse Làm Đẹp Da 120g, 499.000 ₫, 2%, 510.000 ₫, 
Alcofree, [HSD 05/2024] Thực Phẩm Bảo Vệ Sức Khỏe Alcofree (50ml x 10 Chai), 225.000 ₫, 28%, 312.000 ₫, 
Aishitoto, [HSD 06/2024] Thạch Bổ Sung Collagen Aishitoto Vị Dâu Rừng Hộp 30 Gói, 622.000 ₫, 52%, 1.290.000 ₫, 
