NSX, Description, New Price, Discount percent, Old Price, 
Listerine, Combo 2 Nước Súc Miệng Listerine Hơi Thở Thơm Mát 750ml/Chai, 183.000 ₫, 33%, 272.000 ₫, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Xanh Ombre, 650.000 ₫, 50%, 1.300.000 ₫, 
P/S, Kem Đánh Răng P/S Than Hoạt Tính Trắng Răng Tự Nhiên 230g, 37.000 ₫, 18%, 45.000 ₫, 
Femfresh, Dung Dịch Vệ Sinh Phụ Nữ Femfresh Cao Cấp Làm Dịu Da 250ml, 198.000 ₫, not available, not available, 
Diana, Băng Quần Diana Ban Đêm Size M-L 5 Cái, 79.000 ₫, 11%, 89.000 ₫, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Đen, 650.000 ₫, 50%, 1.300.000 ₫, 
Propolinse, Nước Súc Miệng Propolinse Pure Chiết Xuất Sáp Ong 600ml, 135.000 ₫, 43%, 235.000 ₫, 
Eucryl, Kem Đánh Răng Eucryl Làm Trắng Răng Hương Bạc Hà 62g, 49.000 ₫, 35%, 75.000 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Ngăn Mùi 24H 150ml, 44.000 ₫, 10%, 49.000 ₫, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Trắng, 650.000 ₫, 50%, 1.300.000 ₫, 
Diana, Băng Vệ Sinh Diana Cool Fresh Mát Lạnh Siêu Mỏng Cánh 20M, 43.000 ₫, 9%, 47.000 ₫, 
Listerine, Nước Súc Miệng Listerine Hơi Thở Thơm Mát 750ml, 124.000 ₫, 24%, 163.000 ₫, 
Bamboo Salt, Kem Đánh Răng Bamboo Salt Muối Hồng Himalaya Sáng Răng 100g, 44.000 ₫, 32%, 65.000 ₫, 
Loli & The Wolf, Xịt Thơm Miệng Loli And The Wolf Original Bạc Hà The Mát 20ml, 138.000 ₫, 18%, 169.000 ₫, 
Eucryl, Combo 2 Kem Đánh Răng Eucryl Làm Trắng Răng Hương Bạc Hà 62g, 120.000 ₫, not available, not available, 
Laurier, Băng Vệ Sinh Laurier Safety Night Ban Đêm 30cm 8 Miếng, 28.000 ₫, 18%, 34.000 ₫, 
Closeup, Bàn Chải Đánh Răng Closeup Precision 1 Cái, 35.000 ₫, 20%, 44.000 ₫, 
SEBAMED, Dung Dịch Vệ Sinh Phụ Nữ Sebamed PH 3.8 50ml, 110.000 ₫, 8%, 119.000 ₫, 
Sofy, Băng Vệ Sinh Sofy Skin Comfort Mỏng Cánh 23cm 20 Miếng, 73.000 ₫, 28%, 101.702 ₫, 
MegRhythm, Combo MegRhythm 2 Hộp Mặt Xông Hơi Mắt (Không Hương) + Tặng 1 Hộp Miếng Dán Xông Hơi Vùng Bụng, 248.000 ₫, 41%, 420.000 ₫, 
Marvis, Kem Đánh Răng Marvis Màu Xanh Dương Hương Dưa Gang 85ml, 167.000 ₫, 36%, 259.000 ₫, 
Unicharm 3D Mask, Combo 10 Gói Khẩu Trang Unicharm 3D Mask Ngăn Khói Bụi Size M, 138.000 ₫, 23%, 180.000 ₫, 
Gillette, Lưỡi Dao Cạo Râu Gillette Vector Vỉ 4 Cái, 59.000 ₫, 6%, 63.000 ₫, 
Durex, Bao Cao Su Durex Kéo Dài Thời Gian Size 52mm (Hộp 3 Cái), 62.000 ₫, 14%, 72.000 ₫, 
P/S, Nước Súc Miệng P/S Fresh Naturals Kháng Khuẩn 500ml, 44.000 ₫, 41%, 75.000 ₫, 
Crest, Kem Đánh Răng Crest Làm Trắng Răng & Thơm Miệng 153g (Nhập Khẩu Mỹ), 98.000 ₫, 13%, 113.000 ₫, 
Diana, Băng Vệ Sinh Diana Cool Fresh Siêu Mỏng Không Cánh 20 Miếng, 47.000 ₫, 11%, 53.000 ₫, 
Gillette, Dao Cạo Râu Gillette Vector Hai Lưỡi Kép (1 Cán + 1 Lưỡi), 27.000 ₫, 13%, 31.000 ₫, 
Sensodyne, Kem Đánh Răng Sensodyne Phục Hồi & Bảo Vệ Răng Ê Buốt 100g, 95.000 ₫, 13%, 108.900 ₫, 
Sensodyne, Kem Đánh Răng Sensodyne Multi Care Giúp Nướu Chắc Khỏe 100g, 61.000 ₫, 22%, 78.000 ₫, 
Sensodyne, Kem Đánh Răng Sensodyne Fresh Mint Bạc Hà The Mát 160g, 82.000 ₫, 14%, 95.000 ₫, 
Jomi, Bông Tăm Jomi Kháng Khuẩn Cho Trẻ Em Từ Sơ Sinh 200 Chiếc, 25.000 ₫, 29%, 35.000 ₫, 
P/S, Đầu Bàn Chải Điện P/S S100 Pro Sạch Sâu Màu Đen 2 Cái, 207.000 ₫, 17%, 250.000 ₫, 
Diana, Băng Vệ Sinh Diana Sensi Night Ban Đêm 29cm Gói 12 Miếng, 49.000 ₫, 1%, 49.500 ₫, 
Laurier, Băng Vệ Sinh Laurier Fresh&Free Dày Cánh 22cm 20 Miếng, 45.000 ₫, 1%, 45.500 ₫, 
Diana, Băng Vệ Sinh Diana Cool Fresh Mát Dịu Siêu Mỏng Cánh 8M, 23.000 ₫, 4%, 24.000 ₫, 
