NSX, Description, New Price, Discount percent, Old Price, 
MAC, [Mua 2 Tặng 1] Combo Son MAC Chili 3g + Marrakesh 3g Tặng Son Ruby Woo 3g, 1.299.000 ₫, 33%, 1.950.000 ₫, 
SkinCeuticals, Kem Dưỡng SkinCeuticals Cải Thiện Các Dấu Hiệu Lão Hóa 48ml, 3.850.000 ₫, not available, not available, 
Kiehl's, Bộ Sản Phẩm Kiehl's Làm Sáng Da 4 Món, 2.655.000 ₫, 10%, 2.950.000 ₫, 
SkinCeuticals, Tinh Chất SkinCeuticals Dưỡng Da Căng Mịn & Săn Chắc 30ml, 2.700.000 ₫, not available, not available, 
SkinCeuticals, Tinh Chất SkinCeuticals Retinol 1% Hỗ Trợ Tái Tạo Da 30ml, 3.300.000 ₫, not available, not available, 
MAC, Son Thỏi MAC Mịn Lì 607 Lady Danger - Đỏ Cam 3g, 650.000 ₫, not available, not available, 
MAC, Son Thỏi MAC Mịn Lì Nhẹ Môi 315 Lasting Passion - Đỏ Hồng 3g, 710.000 ₫, not available, not available, 
Estee Lauder, [Mua 1 Tặng 1] Tinh Chất Estee Lauder Phục Hồi Ngăn Ngừa Lão Hóa 30mlx2, 2.700.000 ₫, 50%, 5.400.000 ₫, 
MAC, Son Thỏi MAC Siêu Lì 707 Ruby Woo - Đỏ Cổ Điển 3g, 650.000 ₫, not available, not available, 
MAC, Son Thỏi MAC Siêu Lì 706 Relentlessly Red - Đỏ Hồng San Hô 3g, 650.000 ₫, not available, not available, 
MAC, [Mua 1 Tặng 1] Son Thỏi MAC Siêu Lì Ruby Woo 3g + Tặng Son Thỏi Mịn Lì Chili 3g, 650.000 ₫, 50%, 1.300.000 ₫, 
MAC, [Mua 2 Tặng 1] Combo Son MAC Ruby Woo 3g + Marrakesh 3g Tặng Son Chili 3g, 1.299.000 ₫, 33%, 1.950.000 ₫, 
Clinique, Sáp Tẩy Trang Clinique 30ml, 187.000 ₫, 15%, 220.000 ₫, 
L'Oreal Professionnel, Tinh Chất Dưỡng Tóc L'Oréal Professionnel Làm Dài Tóc 15ml, 240.000 ₫, 20%, 300.000 ₫, 
Shu Uemura, Dầu Tẩy Trang Shu Uemura Làm Sạch & Se Lỗ Chân Lông 150ml, 1.001.000 ₫, 9%, 1.100.000 ₫, 
Laneige, [Mini] Kem Dưỡng Ẩm Laneige Dành Cho Da Dầu Và Da Hỗn Hợp 10ml, 200.000 ₫, not available, not available, 
L'Oreal Professionnel, Serum L'Oréal Professionnel Kích Thích Mọc Tóc 90ml, 1.270.000 ₫, 20%, 1.590.000 ₫, 
MAC, [Mua 1 Tặng 1] Son Thỏi MAC Siêu Lì 707 Ruby Woo - Đỏ Cổ Điển 3gx2, 650.000 ₫, 50%, 1.300.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Cho Da Đầu Nhạy Cảm 300ml, 439.000 ₫, not available, not available, 
Kiehl's, Mặt Nạ Kiehl's Đất Sét Làm Sạch Sâu, 356.000 ₫, 10%, 395.000 ₫, 
MAC, [Mua 1 Tặng 1] Son Thỏi MAC Mịn Lì Chili 3g + Tặng Son Thỏi Siêu Lì Ruby Woo 3g, 650.000 ₫, 50%, 1.300.000 ₫, 
Olaplex, Dầu Xả Olaplex No.5 Phục Hồi, 338.000 ₫, 25%, 450.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 8g, 191.000 ₫, 13%, 220.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 3g, 61.000 ₫, 45%, 110.000 ₫, 
Laneige, Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 70ml, 599.000 ₫, 24%, 790.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 25ml, 210.000 ₫, 32%, 310.000 ₫, 
Kiehl's, Sữa Rửa Mặt Kiehl's Hoa Cúc Làm Sạch Sâu Da 230ml, 833.000 ₫, 10%, 925.000 ₫, 
Olaplex, Dầu Dưỡng Olaplex No.7 Giúp Tóc Bóng Mượt, 690.000 ₫, 22%, 890.000 ₫, 
Kiehl's, Combo Kiehl's Làm Sạch & Làm Dịu Da Từ Hoa Cúc (Phiên Bản Lễ Hội 2022), 1.575.000 ₫, 10%, 1.750.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Bền Màu Tóc Nhuộm 300ml, 249.000 ₫, 43%, 439.000 ₫, 
Kiehl's, Kem Dưỡng Kiehl's Cấp Ẩm Kiềm Dầu Không Bóng Nhờn 28ml, 437.000 ₫, 10%, 485.000 ₫, 
Kiehl's, Mặt Nạ Kiehl's Nghệ & Hạt Việt Quất Làm Sáng Da 28ml, 495.000 ₫, 10%, 550.000 ₫, 
Kiehl's, Serum Kiehl's Mờ Thâm Mụn & Đều Màu Da 30ml, 1.485.000 ₫, 10%, 1.650.000 ₫, 
Olaplex, Kem Ủ Olaplex No.3 Phục Hồi Tóc Hư Tổn 100ml, 690.000 ₫, 22%, 890.000 ₫, 
Olaplex, Dầu Gội Khô Olaplex No.4D Làm Sạch Tóc 250ml, 690.000 ₫, 22%, 890.000 ₫, 
