NSX, Description, New Price, Discount percent, Old Price, 
Maybelline, Phấn Phủ Maybelline Mịn Nhẹ Kiềm Dầu Chống Nắng 6g #109, 149.000 ₫, 16%, 178.000 ₫, 
Maybelline, Bút Kẻ Mắt Nước Maybelline Sắc Mảnh BR1 Nâu Tự Nhiên 0.4g, 179.000 ₫, 18%, 218.000 ₫, 
3CE, Son Kem Lì 3CE Mịn Nhẹ Live A Little - Đỏ Đất 4g, 272.000 ₫, 20%, 340.000 ₫, 
VACOSI, Bấm Mi Vacosi Modern Lash Curler Cán Đen - BM03, 60.000 ₫, 17%, 72.000 ₫, 
VACOSI, Bút Kẻ Mắt Nước Vacosi Đen Bóng 24h Lâu Trôi 2g, 125.000 ₫, 20%, 157.000 ₫, 
Maybelline, Mascara Maybelline Dài & Tơi Mi Không Lem Không Trôi 10ml, 149.000 ₫, 32%, 218.000 ₫, 
Maybelline, Kem Nền Maybelline 30H Lâu Trôi Che Phủ Cao #112 30ml, 239.000 ₫, 20%, 298.000 ₫, 
Nuxe, Sáp Dưỡng Môi Nuxe Cho Môi Khô & Bị Tổn Thương Dạng Hũ 15g, 355.000 ₫, 10%, 395.000 ₫, 
City Color, Bảng Tạo Khối Và Highlight City Color 4.5g, 104.000 ₫, 58%, 250.000 ₫, 
Maybelline, Bút Cushion Che Khuyết Điểm Maybelline 110 Fair 6ml, 169.000 ₫, 19%, 208.000 ₫, 
3CE, Son Kem Lì 3CE Mịn Nhẹ Macaron Red - Đỏ Tươi 4g, 272.000 ₫, 20%, 340.000 ₫, 
Cocoon, Combo 2 Son Dưỡng Cocoon Dầu Dừa Bến Tre 5g, 54.000 ₫, 16%, 64.000 ₫, 
3CE, Son Thỏi Lì 3CE Vỏ Trong Suốt Speak To Me - Đỏ Mận 3.5g, 304.000 ₫, 20%, 380.000 ₫, 
Maybelline, Kem Che Khuyết Điểm Maybelline Mịn Lì 15 Fair 6.8ml, 139.000 ₫, 12%, 158.000 ₫, 
